"","year","camp.length","deminc","base.poll","base.und","office","d.gone.neg","d.gone.neg.l1","d.gone.neg.l2","d.neg.frac.l3","week","dem.polls.l1","neg.rep.l1","neg.rep.l2","r.neg.frac.l3","num.rep.l1","num.dem.l1","undother.l1","r.neg.frac.l2","num.rep.l2","num.dem.l2","undother.l2","dem.contrib.l1","dem.contrib.l2","rep.contrib.l1","race","first.week","num.dem","demprcnt","d.neg.rec","rep.contrib.l2","d.neg.dur","dem.polls.l2","y2006","y2004","y2002","y2000","pos.prob.subset","missing","bart.sw","gbm.sw","gam.sw","bart.pscore","gbm.pscore","gam.pscore"
"16",2006,24,0,43.0232558139535,14,0,1,1,0,0.25,-1,38.7096774193548,0.712121212121212,0.777235772357724,0.5,726,402,7,0.523809523809524,615,0,7,48385,21681,318580,"AL-1-2006",-23,686,41.9840342962,2,478504,7,38.7096774193548,1,0,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"17",2002,25,0,39.202700237183,13,0,1,0,0,0,-9,46.1538461538462,0,0,0,0,0,9,0,0,0,9,27345,30526,40801.63,"AR-1-2002",-24,19,46.968206901,1,33506.83,1,46.1538461538462,0,0,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"18",2002,25,0,39.202700237183,13,0,1,1,1,0.0625,-6,44.0922730682671,0,0,0,82,153,10.5,0,42,101,9,50243,52287,45312.09,"AR-1-2002",-24,166,46.968206901,4,59677.15,4,46.1538461538462,0,0,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"19",2002,25,0,39.202700237183,13,0,1,1,1,0.117647058823529,-5,44.0922730682671,0,0,0,112,166,10.5,0,82,153,10.5,60520.48,50243,38070.42,"AR-1-2002",-24,260,46.968206901,5,45312.09,5,44.0922730682671,0,0,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"20",2002,25,0,39.202700237183,13,0,1,1,1,0.166666666666667,-4,44.0922730682671,0.147826086956522,0,0,115,260,10.5,0,112,166,10.5,78802.7,60520.48,33364,"AR-1-2002",-24,180,46.968206901,5,38070.42,6,44.0922730682671,0,0,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"21",2002,25,0,39.202700237183,13,0,1,1,1,0.25,-2,48.8888888888889,0,0.29559748427673,0.05,174,227,10,0.0952380952380952,159,180,8.5,136284.32,129465.11,74478,"AR-1-2002",-24,278,46.968206901,5,49342,8,46.9534050179211,0,0,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"22",2002,25,0,45.7446808510638,6,1,1,0,0,0.666666666666667,-16,45.7446808510638,0,0,0.166666666666667,72,0,6,0.142857142857143,0,0,6,12287,1000,14064,"AR-2-2002",-24,56,54.0935545221,1,-250,5,45.7446808510638,0,0,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"23",2002,25,0,45.7446808510638,6,1,1,1,0,0.571428571428571,-15,45.7446808510638,0,0,0.142857142857143,91,56,6,0.125,72,0,6,26000,12287,18013,"AR-2-2002",-24,135,54.0935545221,2,14064,6,45.7446808510638,0,0,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"24",2002,25,0,45.7446808510638,6,1,0,1,1,0.5,-14,54.5454545454545,0.5,0,0.125,106,135,12,0.111111111111111,91,56,6,45154,26000,33600,"AR-2-2002",-24,149,54.0935545221,2,18013,6,45.7446808510638,0,0,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"25",2002,25,0,45.7446808510638,6,1,1,0,1,0.555555555555556,-13,54.5454545454545,0.508393285371703,0.5,0.111111111111111,417,149,12,0.2,106,135,12,50075,45154,17400,"AR-2-2002",-24,216,54.0935545221,3,33600,7,54.5454545454545,0,0,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"26",2002,25,0,45.7446808510638,6,1,1,1,0,0.6,-12,48.314606741573,0.333333333333333,0.508393285371703,0.2,396,216,11,0.272727272727273,417,149,12,46226,50075,18350,"AR-2-2002",-24,216,54.0935545221,4,17400,8,54.5454545454545,0,0,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"27",2002,25,0,45.7446808510638,6,1,1,1,1,0.545454545454545,-11,48.314606741573,0.78,0.333333333333333,0.272727272727273,250,216,11,0.333333333333333,396,216,11,51765,46226,49250,"AR-2-2002",-24,248,54.0935545221,4,18350,9,48.314606741573,0,0,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
